,name,year,revenue,employee,sector,job_title,location,salary_est,age,min_salary,max_salary,avg_salary
565,Nike,1972,$10+ billion (USD),10000+ Employees,Manufacturing,Data Engineer, CA,$95k - $135k ,51,95,135,115.0
566,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,Telemedicine Operations Specialist,Remote,$69k - $118k ,7,69,118,93.5
567,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science, FL,$90k - $165k ,173,90,165,127.5
568,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science",Remote,$113k - $169k ,7,113,169,141.0
569,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics",Remote,$72k - $122k ,86,72,122,97.0
570,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis",Remote,$99k - $126k ,10,99,126,112.5
571,Tesla,2003,$1 to $5 billion (USD),10000+ Employees,Manufacturing,"AI Compiler Engineer, Autonomy - Palo Alto, CA", CA,$99k - $158k ,20,99,158,128.5
572,"The Travelers Companies, Inc.",1853,$10+ billion (USD),10000+ Employees,Insurance,"Data Engineer 1 (AWS, SQL, Python)", NC,$103k - $169k ,170,103,169,136.0
573,BlackRock,1988,$10+ billion (USD),10000+ Employees,Financial Services,"Associate, Data Science", MA,$128k - $145k ,35,128,145,136.5
575,Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer, CA,$76k - $111k ,173,76,111,93.5
576,Western Union,1851,$5 to $10 billion (USD),10000+ Employees,Financial Services,"Manager, Data Science",Remote,$100k - $176k ,172,100,176,138.0
577,GSK,1830,$10+ billion (USD),10000+ Employees,Pharmaceutical & Biotechnology,AI/ML Engineer – Sequence Learning, NY,$59k - $100k ,193,59,100,79.5
578,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,"Senior Machine Learning Engineer, AdTech", TX,$111k - $167k ,17,111,167,139.0
579,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,ML Engineer, GA,$83k - $117k ,19,83,117,100.0
580,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer, DC,$121k - $170k ,17,121,170,145.5
581,"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer, CA,$99k ,12,99,99,99.0
582,pulseData,2015,Unknown / Non-Applicable,1 to 50 Employees,Healthcare,Data Engineer - Jr/Mid Level (Remote),Remote,$75k - $120k ,8,75,120,97.5
583,Visa,1958,$10+ billion (USD),10000+ Employees,Information Technology,Staff Data Engineer, TX,$111k - $155k ,65,111,155,133.0
584,Allianz US Life,1890,$10+ billion (USD),10000+ Employees,Financial Services,Analytics Consultant | Hybrid,Remote,$78k - $121k ,133,78,121,99.5
585,Anblicks,2004,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Science (AI/ML),Remote,$57k - $90k ,19,57,90,73.5
586,Nike,1972,$10+ billion (USD),10000+ Employees,Manufacturing,Data Engineer, TX,$95k - $135k ,51,95,135,115.0
588,Brown Brothers Harriman,1818,$1 to $5 billion (USD),1001 to 5000 Employees,Financial Services,Sr. Java Performance Engineer (Data Science),Remote,$103k - $151k ,205,103,151,127.0
589,T. Rowe Price,1937,$1 to $5 billion (USD),5001 to 10000 Employees,Financial Services,"Analyst, Data Science and Analytics", CA,$72k - $122k ,86,72,122,97.0
590,Amex,1850,$10+ billion (USD),10000+ Employees,Financial Services,Data Scientist - Global Decision Science,Remote,$90k - $165k ,173,90,165,127.5
591,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,Telemedicine Operations Specialist, CA,$69k - $118k ,7,69,118,93.5
592,Duke Energy,1917,$10+ billion (USD),10000+ Employees,"Energy, Mining & Utilities",Data Science Consultant, CA,$80k - $115k ,106,80,115,97.5
593,Tesla,2003,$1 to $5 billion (USD),10000+ Employees,Manufacturing,"AI Compiler Engineer, Autonomy - Palo Alto, CA", TX,$99k - $158k ,20,99,158,128.5
594,"Health Services Advisory Group, Inc.",1979,$25 to $100 million (USD),201 to 500 Employees,Healthcare,Analyst I,Remote,$70k - $75k ,44,70,75,72.5
595,Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,"Senior Machine Learning Engineer, AdTech", CA,$111k - $167k ,17,111,167,139.0
596,CALICO,2013,Unknown / Non-Applicable,201 to 500 Employees,Pharmaceutical & Biotechnology,"Data Scientist, Image Analysis",Remote,$99k - $126k ,10,99,126,112.5
597,Caterpillar,1925,$10+ billion (USD),10000+ Employees,Manufacturing,Data Analytics Engineer,Remote,$84k - $113k ,98,84,113,98.5
598,Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science", CA,$113k - $169k ,7,113,169,141.0
599,Abbott Laboratories,1888,$10+ billion (USD),10000+ Employees,Healthcare,"Director, Data Science & Advanced Analytics", AZ,$136k - $272k ,135,136,272,204.0
600,Coretelligent,2006,$5 to $25 million (USD),201 to 500 Employees,Information Technology,Data Management Engineer (L3),Remote,$66k - $95k ,17,66,95,80.5
601,Rhino New York,2017,Unknown / Non-Applicable,51 to 200 Employees,Insurance,"Director, Data and Analytics", TX,$170k - $210k ,6,170,210,190.0
